id,full_name,language,stars,forks,url,license
653589102,567-labs/instructor,Python,11095.0,830.0,https://api.github.com/repos/567-labs/instructor,MIT
998428732,BeehiveInnovations/zen-mcp-server,Python,5465.0,487.0,https://api.github.com/repos/BeehiveInnovations/zen-mcp-server,NOASSERTION
671269505,BerriAI/litellm,Python,26663.0,3685.0,https://api.github.com/repos/BerriAI/litellm,NOASSERTION
2786727,JessicaTegner/pypandoc,Python,1020.0,120.0,https://api.github.com/repos/JessicaTegner/pypandoc,MIT
938859604,MaiM-with-u/MaiBot,Python,2939.0,342.0,https://api.github.com/repos/MaiM-with-u/MaiBot,GPL-3.0
774497032,MervinPraison/PraisonAI,Python,5243.0,722.0,https://api.github.com/repos/MervinPraison/PraisonAI,MIT
627024850,OpenAdaptAI/OpenAdapt,Python,1339.0,193.0,https://api.github.com/repos/OpenAdaptAI/OpenAdapt,MIT
139199684,PrefectHQ/prefect,Python,19894.0,1888.0,https://api.github.com/repos/PrefectHQ/prefect,Apache-2.0
614765452,Significant-Gravitas/AutoGPT,Python,177379.0,45908.0,https://api.github.com/repos/Significant-Gravitas/AutoGPT,NOASSERTION
1006496207,SuperClaude-Org/SuperClaude_Framework,Python,11739.0,1038.0,https://api.github.com/repos/SuperClaude-Org/SuperClaude_Framework,MIT
938717878,Wan-Video/Wan2.1,Python,13414.0,1735.0,https://api.github.com/repos/Wan-Video/Wan2.1,Apache-2.0
283046497,airbytehq/airbyte,Python,19011.0,4685.0,https://api.github.com/repos/airbytehq/airbyte,NOASSERTION
651622038,allenai/open-instruct,Python,3083.0,426.0,https://api.github.com/repos/allenai/open-instruct,Apache-2.0
897595329,basicmachines-co/basic-memory,Python,1460.0,85.0,https://api.github.com/repos/basicmachines-co/basic-memory,AGPL-3.0
702796244,fishaudio/fish-speech,Python,22527.0,1851.0,https://api.github.com/repos/fishaudio/fish-speech,Apache-2.0
36759907,graphistry/pygraphistry,Python,2307.0,215.0,https://api.github.com/repos/graphistry/pygraphistry,BSD-3-Clause
191751505,milvus-io/pymilvus,Python,1230.0,368.0,https://api.github.com/repos/milvus-io/pymilvus,Apache-2.0
724855841,ml-explore/mlx-examples,Python,7687.0,1087.0,https://api.github.com/repos/ml-explore/mlx-examples,MIT
136202695,mlflow/mlflow,Python,21402.0,4716.0,https://api.github.com/repos/mlflow/mlflow,Apache-2.0
626117554,mrwadams/stride-gpt,Python,794.0,226.0,https://api.github.com/repos/mrwadams/stride-gpt,MIT
65600975,pytorch/pytorch,Python,91911.0,24814.0,https://api.github.com/repos/pytorch/pytorch,NOASSERTION
92974124,pyvista/pyvista,Python,3211.0,578.0,https://api.github.com/repos/pyvista/pyvista,MIT
599547518,vllm-project/vllm,Python,53643.0,9047.0,https://api.github.com/repos/vllm-project/vllm,Apache-2.0
920603619,willccbb/verifiers,Python,1663.0,225.0,https://api.github.com/repos/willccbb/verifiers,MIT
314197645,zenml-io/zenml,Python,4768.0,529.0,https://api.github.com/repos/zenml-io/zenml,Apache-2.0
973621150,AIDotNet/OpenDeepWiki,C#,1666.0,221.0,https://api.github.com/repos/AIDotNet/OpenDeepWiki,MIT
57002284,Albeoris/Memoria,C#,514.0,69.0,https://api.github.com/repos/Albeoris/Memoria,MIT
9864166,App-vNext/Polly,C#,13882.0,1261.0,https://api.github.com/repos/App-vNext/Polly,BSD-3-Clause
575865240,AstrBotDevs/AstrBot,Python,11041.0,781.0,https://api.github.com/repos/AstrBotDevs/AstrBot,AGPL-3.0
599293758,Azure-Samples/azure-search-openai-demo,Python,7182.0,4889.0,https://api.github.com/repos/Azure-Samples/azure-search-openai-demo,MIT
624102171,Azure-Samples/azure-search-openai-demo-csharp,C#,776.0,594.0,https://api.github.com/repos/Azure-Samples/azure-search-openai-demo-csharp,MIT
145183271,Azure/Azure-Sentinel,Python,5204.0,3282.0,https://api.github.com/repos/Azure/Azure-Sentinel,MIT
156260788,Azure/azure-cosmos-dotnet-v3,C#,774.0,512.0,https://api.github.com/repos/Azure/azure-cosmos-dotnet-v3,MIT
77990768,Azure/azure-functions-core-tools,C#,1399.0,457.0,https://api.github.com/repos/Azure/azure-functions-core-tools,MIT
42548553,Azure/azure-functions-host,C#,1973.0,464.0,https://api.github.com/repos/Azure/azure-functions-host,MIT
967503541,Azure/azure-mcp,C#,1038.0,292.0,https://api.github.com/repos/Azure/azure-mcp,MIT
2928944,Azure/azure-sdk-for-net,C#,5827.0,5008.0,https://api.github.com/repos/Azure/azure-sdk-for-net,MIT
4127088,Azure/azure-sdk-for-python,Python,5011.0,3062.0,https://api.github.com/repos/Azure/azure-sdk-for-python,MIT
401807767,Azure/data-api-builder,C#,1121.0,259.0,https://api.github.com/repos/Azure/data-api-builder,MIT
17496194,AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet,C#,1113.0,431.0,https://api.github.com/repos/AzureAD/azure-activedirectory-identitymodel-extensions-for-dotnet,MIT
44556479,AzureAD/microsoft-authentication-library-for-dotnet,C#,1471.0,369.0,https://api.github.com/repos/AzureAD/microsoft-authentication-library-for-dotnet,MIT
197153676,Chia-Network/chia-blockchain,Python,10846.0,2047.0,https://api.github.com/repos/Chia-Network/chia-blockchain,Apache-2.0
230706417,DaveSkender/Stock.Indicators,C#,1096.0,259.0,https://api.github.com/repos/DaveSkender/Stock.Indicators,Apache-2.0
71483874,DhanushNehru/Python-Scripts,Python,772.0,349.0,https://api.github.com/repos/DhanushNehru/Python-Scripts,MIT
302982238,Giorgi/DuckDB.NET,C#,561.0,85.0,https://api.github.com/repos/Giorgi/DuckDB.NET,MIT
569233100,HotCakeX/Harden-Windows-Security,C#,2873.0,226.0,https://api.github.com/repos/HotCakeX/Harden-Windows-Security,MIT
675859069,IAHispano/Applio,Python,2498.0,416.0,https://api.github.com/repos/IAHispano/Applio,MIT
773894671,Lightning-AI/lightning-thunder,Python,1385.0,104.0,https://api.github.com/repos/Lightning-AI/lightning-thunder,Apache-2.0
8085749,MarimerLLC/csla,C#,1309.0,408.0,https://api.github.com/repos/MarimerLLC/csla,MIT
101194285,NethermindEth/nethermind,C#,1423.0,537.0,https://api.github.com/repos/NethermindEth/nethermind,GPL-3.0
60844169,NewFuture/DDNS,Python,4528.0,680.0,https://api.github.com/repos/NewFuture/DDNS,MIT
19330736,NuGet/NuGet.Client,C#,798.0,723.0,https://api.github.com/repos/NuGet/NuGet.Client,NOASSERTION
69648386,OWASP/mastg,Python,12399.0,2472.0,https://api.github.com/repos/OWASP/mastg,CC-BY-SA-4.0
322043759,OfficeDev/Microsoft-Teams-Samples,C#,1226.0,867.0,https://api.github.com/repos/OfficeDev/Microsoft-Teams-Samples,MIT
26884725,OrchardCMS/OrchardCore,C#,7777.0,2481.0,https://api.github.com/repos/OrchardCMS/OrchardCore,BSD-3-Clause
88064357,QL-Win/QuickLook,C#,20496.0,1167.0,https://api.github.com/repos/QL-Win/QuickLook,GPL-3.0
598401026,RimSort/RimSort,Python,620.0,62.0,https://api.github.com/repos/RimSort/RimSort,GPL-3.0
429221032,andrewlock/NetEscapades.EnumGenerators,C#,1036.0,50.0,https://api.github.com/repos/andrewlock/NetEscapades.EnumGenerators,MIT
705358800,awaescher/OllamaSharp,C#,1060.0,150.0,https://api.github.com/repos/awaescher/OllamaSharp,MIT
393538656,beeradmoore/dlss-swapper,C#,4741.0,144.0,https://api.github.com/repos/beeradmoore/dlss-swapper,GPL-3.0
985839104,browseros-ai/BrowserOS,Python,3093.0,194.0,https://api.github.com/repos/browseros-ai/BrowserOS,AGPL-3.0
845380264,bugsink/bugsink,Python,908.0,43.0,https://api.github.com/repos/bugsink/bugsink,NOASSERTION
842905162,clemlesne/scrape-it-now,Python,524.0,20.0,https://api.github.com/repos/clemlesne/scrape-it-now,Apache-2.0
12095044,dnnsoftware/Dnn.Platform,C#,1085.0,763.0,https://api.github.com/repos/dnnsoftware/Dnn.Platform,MIT
35752188,dotnet/Nerdbank.GitVersioning,C#,1481.0,174.0,https://api.github.com/repos/dotnet/Nerdbank.GitVersioning,MIT
173170791,dotnet/SqlClient,C#,930.0,312.0,https://api.github.com/repos/dotnet/SqlClient,MIT
55075302,dotnet/android,C#,2045.0,555.0,https://api.github.com/repos/dotnet/android,MIT
696529789,dotnet/aspire,C#,4723.0,659.0,https://api.github.com/repos/dotnet/aspire,MIT
17620347,dotnet/aspnetcore,C#,36926.0,10420.0,https://api.github.com/repos/dotnet/aspnetcore,MIT
534755927,dotnet/dev-proxy,C#,687.0,75.0,https://api.github.com/repos/dotnet/dev-proxy,MIT
38007053,dotnet/docfx,C#,4310.0,875.0,https://api.github.com/repos/dotnet/docfx,MIT
550902717,dotnet/dotnet,C#,676.0,180.0,https://api.github.com/repos/dotnet/dotnet,MIT
111510915,dotnet/dotnet-api-docs,C#,846.0,1618.0,https://api.github.com/repos/dotnet/dotnet-api-docs,NOASSERTION
16157746,dotnet/efcore,C#,14235.0,3284.0,https://api.github.com/repos/dotnet/efcore,MIT
30932325,dotnet/extensions,C#,2992.0,822.0,https://api.github.com/repos/dotnet/extensions,MIT
132021166,dotnet/machinelearning,C#,9231.0,1926.0,https://api.github.com/repos/dotnet/machinelearning,MIT
56710511,dotnet/macios,C#,2716.0,543.0,https://api.github.com/repos/dotnet/macios,NOASSERTION
262395224,dotnet/maui,C#,22821.0,1865.0,https://api.github.com/repos/dotnet/maui,MIT
32051890,dotnet/msbuild,C#,5418.0,1385.0,https://api.github.com/repos/dotnet/msbuild,MIT
28232663,dotnet/orleans,C#,10443.0,2093.0,https://api.github.com/repos/dotnet/orleans,MIT
159564733,dotnet/razor,C#,562.0,209.0,https://api.github.com/repos/dotnet/razor,MIT
29078997,dotnet/roslyn,C#,19709.0,4146.0,https://api.github.com/repos/dotnet/roslyn,MIT
210716005,dotnet/runtime,C#,16688.0,5098.0,https://api.github.com/repos/dotnet/runtime,MIT
63984307,dotnet/sdk,C#,2940.0,1138.0,https://api.github.com/repos/dotnet/sdk,MIT
151148482,elsa-workflows/elsa-core,C#,7225.0,1376.0,https://api.github.com/repos/elsa-workflows/elsa-core,MIT
478037973,embeddings-benchmark/mteb,Python,2740.0,450.0,https://api.github.com/repos/embeddings-benchmark/mteb,Apache-2.0
23736914,espressif/esptool,Python,5980.0,1439.0,https://api.github.com/repos/espressif/esptool,GPL-2.0
1007555070,fabriziosalmi/certmate,Python,844.0,41.0,https://api.github.com/repos/fabriziosalmi/certmate,MIT
760683276,google-deepmind/gemma,Python,3564.0,495.0,https://api.github.com/repos/google-deepmind/gemma,Apache-2.0
162405963,gradio-app/gradio,Python,39262.0,3006.0,https://api.github.com/repos/gradio-app/gradio,Apache-2.0
323591830,huggingface/huggingface_hub,Python,2806.0,765.0,https://api.github.com/repos/huggingface/huggingface_hub,Apache-2.0
595221457,irihitech/Ursa.Avalonia,C#,1124.0,101.0,https://api.github.com/repos/irihitech/Ursa.Avalonia,MIT
579557127,kohya-ss/sd-scripts,Python,6459.0,1071.0,https://api.github.com/repos/kohya-ss/sd-scripts,Apache-2.0
676672661,langchain-ai/langgraph,Python,16579.0,2842.0,https://api.github.com/repos/langchain-ai/langgraph,MIT
722865845,livingbio/typed-ffmpeg,Python,1050.0,20.0,https://api.github.com/repos/livingbio/typed-ffmpeg,MIT
915016509,microsoft/Generative-AI-for-beginners-dotnet,C#,1666.0,1250.0,https://api.github.com/repos/microsoft/Generative-AI-for-beginners-dotnet,MIT
97175798,microsoft/OpenAPI.NET,C#,1513.0,262.0,https://api.github.com/repos/microsoft/OpenAPI.NET,MIT
184456251,microsoft/PowerToys,C#,121672.0,7237.0,https://api.github.com/repos/microsoft/PowerToys,MIT
199628708,microsoft/RulesEngine,C#,4002.0,598.0,https://api.github.com/repos/microsoft/RulesEngine,MIT
155757874,microsoft/WinUI-Gallery,C#,3140.0,691.0,https://api.github.com/repos/microsoft/WinUI-Gallery,MIT
680120071,microsoft/autogen,Python,48110.0,7347.0,https://api.github.com/repos/microsoft/autogen,CC-BY-4.0
234187391,microsoft/debugpy,Python,2159.0,171.0,https://api.github.com/repos/microsoft/debugpy,NOASSERTION
348132133,microsoft/fluentui-blazor,C#,4456.0,433.0,https://api.github.com/repos/microsoft/fluentui-blazor,MIT
978331188,microsoft/magentic-ui,Python,6674.0,680.0,https://api.github.com/repos/microsoft/magentic-ui,MIT
33010673,microsoft/perfview,C#,4477.0,742.0,https://api.github.com/repos/microsoft/perfview,MIT
235572844,microsoft/playwright-dotnet,C#,2726.0,270.0,https://api.github.com/repos/microsoft/playwright-dotnet,MIT
132129752,microsoft/presidio,Python,5141.0,701.0,https://api.github.com/repos/microsoft/presidio,MIT
660489378,microsoft/promptflow,Python,10634.0,999.0,https://api.github.com/repos/microsoft/promptflow,MIT
208897838,microsoft/react-native-windows-samples,C#,511.0,207.0,https://api.github.com/repos/microsoft/react-native-windows-samples,MIT
498824328,microsoft/sbom-tool,C#,1846.0,170.0,https://api.github.com/repos/microsoft/sbom-tool,MIT
607289185,microsoft/semantic-kernel,C#,25612.0,4094.0,https://api.github.com/repos/microsoft/semantic-kernel,MIT
598249096,microsoft/teams-ai,C#,607.0,243.0,https://api.github.com/repos/microsoft/teams-ai,MIT
65080725,microsoft/testfx,C#,908.0,280.0,https://api.github.com/repos/microsoft/testfx,MIT
62774726,microsoft/vstest,C#,934.0,337.0,https://api.github.com/repos/microsoft/vstest,MIT
56319070,nkdAgility/azure-devops-migration-tools,C#,554.0,362.0,https://api.github.com/repos/nkdAgility/azure-devops-migration-tools,AGPL-3.0
299862,nltk/nltk,Python,14209.0,2935.0,https://api.github.com/repos/nltk/nltk,Apache-2.0
102692863,onnx/onnx,Python,19360.0,3778.0,https://api.github.com/repos/onnx/onnx,Apache-2.0
792072603,openai/openai-dotnet,C#,2178.0,293.0,https://api.github.com/repos/openai/openai-dotnet,MIT
765083837,opendatalab/MinerU,Python,41051.0,3372.0,https://api.github.com/repos/opendatalab/MinerU,AGPL-3.0
957479421,plexguide/Huntarr.io,Python,2033.0,35.0,https://api.github.com/repos/plexguide/Huntarr.io,GPL-3.0
296298081,pnp/powershell,C#,770.0,380.0,https://api.github.com/repos/pnp/powershell,MIT
1446467,pypa/pip,Python,9879.0,3116.0,https://api.github.com/repos/pypa/pip,MIT
66466789,python-cachier/cachier,Python,608.0,72.0,https://api.github.com/repos/python-cachier/cachier,MIT
42940997,reneschulte/WriteableBitmapEx,C#,548.0,127.0,https://api.github.com/repos/reneschulte/WriteableBitmapEx,MIT
26230481,riganti/dotvvm,C#,768.0,97.0,https://api.github.com/repos/riganti/dotvvm,Apache-2.0
8162715,saleor/saleor,Python,21862.0,5748.0,https://api.github.com/repos/saleor/saleor,BSD-3-Clause
15730865,spack/spack,Python,4755.0,2408.0,https://api.github.com/repos/spack/spack,Apache-2.0
172703996,spcl/dace,Python,544.0,137.0,https://api.github.com/repos/spcl/dace,BSD-3-Clause
253975496,srbhr/Resume-Matcher,Python,21035.0,4206.0,https://api.github.com/repos/srbhr/Resume-Matcher,Apache-2.0
