repo_id,full_name,language,n_lineages,n_file_errors,elapsed_seconds
653589102.0,567-labs/instructor,Python,632,0,112.3
679017521.0,AgentOps-AI/agentops,Python,918,0,65.6
4127088.0,Azure/azure-sdk-for-python,Python,981,0,196.4
614765452.0,Significant-Gravitas/AutoGPT,Python,1975,0,132.1
283046497.0,airbytehq/airbyte,Python,1096,0,288.3
881458615.0,browser-use/browser-use,Python,2698,0,4095.5
710601088.0,crewAIInc/crewAI,Python,1376,0,55.4
742063678.0,crewAIInc/crewAI-tools,Python,871,0,242.0
696529789.0,dotnet/aspire,C#,260,0,94.7
17620347.0,dotnet/aspnetcore,C#,852,0,156.6
262395224.0,dotnet/maui,C#,1141,0,115.2
151148482.0,elsa-workflows/elsa-core,C#,242,0,95.3
958026130.0,featureform/enrichmcp,Python,402,0,52.4
174731004.0,ikamensh/flynt,Python,82,0,37.0
781914762.0,julep-ai/julep,Python,2768,0,77.1
678526156.0,marimo-team/marimo,Python,337,0,78.6
496005961.0,marin-community/levanter,Python,2689,0,126.6
65080725.0,microsoft/testfx,C#,6265,0,63.5
136202695.0,mlflow/mlflow,Python,749,0,129.3
134182879.0,wieslawsoltes/Dock,C#,458,0,58.4
216883277.0,wieslawsoltes/Svg.Skia,C#,780,0,59.9
