repo_id,full_name,language,n_lineages,n_file_errors,elapsed_seconds
653589102.0,567-labs/instructor,Python,1206,0,49.9
679017521.0,AgentOps-AI/agentops,Python,1161,0,24.3
4127088.0,Azure/azure-sdk-for-python,Python,1146,0,338.3
614765452.0,Significant-Gravitas/AutoGPT,Python,1771,0,97.9
283046497.0,airbytehq/airbyte,Python,989,0,296.1
881458615.0,browser-use/browser-use,Python,1482,0,881.6
710601088.0,crewAIInc/crewAI,Python,1527,0,64.3
742063678.0,crewAIInc/crewAI-tools,Python,1044,0,122.1
696529789.0,dotnet/aspire,C#,1361,0,192.3
17620347.0,dotnet/aspnetcore,C#,1014,0,169.1
262395224.0,dotnet/maui,C#,920,0,187.4
151148482.0,elsa-workflows/elsa-core,C#,562,0,103.7
958026130.0,featureform/enrichmcp,Python,402,0,16.8
174731004.0,ikamensh/flynt,Python,82,0,19.3
781914762.0,julep-ai/julep,Python,2464,0,87.5
678526156.0,marimo-team/marimo,Python,1204,0,134.8
496005961.0,marin-community/levanter,Python,2663,0,122.5
65080725.0,microsoft/testfx,C#,6555,0,106.7
136202695.0,mlflow/mlflow,Python,1716,0,199.6
134182879.0,wieslawsoltes/Dock,C#,678,0,125.8
216883277.0,wieslawsoltes/Svg.Skia,C#,1542,0,64.0
