metric,outcome,median_split_comments,n_high,n_low,median_high,median_low,mannwhitney_p,cliffs_delta
cyclomatic_complexity_p90,level_change_coef,1.3333333333333333,34,35,0.03450142182578391,-1.9595789860982395e-16,0.23711188515742254,0.16638655462184873
cyclomatic_complexity_p90,slope_change_coef,1.3333333333333333,34,35,-0.009288600860162,-0.0034778032755873,0.9856359806307513,-0.0033613445378151263
design_smell_density_per_kloc,level_change_coef,1.3333333333333333,34,35,-0.01297021803899465,0.0051180071766601,0.10007727512324707,-0.23109243697478993
design_smell_density_per_kloc,slope_change_coef,1.3333333333333333,34,35,-0.0014000958142742,-0.0040756248062632,0.17118731766365025,0.19243697478991598
implementation_smell_density_per_kloc,level_change_coef,1.3333333333333333,34,35,-0.08605112743112825,0.0,0.5444305739320651,-0.08571428571428572
implementation_smell_density_per_kloc,slope_change_coef,1.3333333333333333,34,35,-0.00762774661745885,-0.0017020148714548,0.5767646761936098,-0.07899159663865546
