metric,n,dof,r2,intercept_coef,intercept_se,intercept_p,slope_pre_coef_coef,slope_pre_coef_se,slope_pre_coef_p,log1p_agent_pr_count_coef,log1p_agent_pr_count_se,log1p_agent_pr_count_p
cyclomatic_complexity_p90,11,8,0.7443276024754593,0.2155565132784163,0.061394639379490294,0.007949949410174408,-0.5211470880316207,0.20732560046712578,0.03616387527464499,-0.04458580294248782,0.013982759961629747,0.012829862521092375
design_smell_density_per_kloc,15,12,0.5583550266983577,-0.09243528361026687,0.057518543478793586,0.13402041981098947,-1.0592486893980657,0.29688736649825637,0.003867662776123609,0.018690966151057475,0.012851697471737644,0.17149919973582908
implementation_smell_density_per_kloc,15,12,0.36435226257527076,-0.08069480212184246,0.05255659679811132,0.1506242782362445,-0.8496260038325525,0.37029723947785775,0.040603849885150485,0.019007676490226832,0.011815843399080166,0.1336668216893881
