metric,n_perms,n,n_repos,real_pooled_rho,naive_p,null_mean_rho,null_std_rho,null_percentile_of_real,p_empirical_two_sided
cyclomatic_complexity_p90,300,162,72,-0.2555281615053554,0.001031413045394717,-0.26549303019001635,0.012936684673070305,76.0,0.4850498338870432
design_smell_density_per_kloc,300,162,72,0.09017789343269439,0.2537800033646972,0.08522929124596018,0.005946899068396393,78.0,0.44518272425249167
implementation_smell_density_per_kloc,300,162,72,-0.002687943700991469,0.97291935414473,0.0022932499157569232,0.006273250263919716,22.333333333333332,0.45182724252491696
