full_name,track,metric,n,n_pre,n_post,r2,level_change_coef,level_change_se,level_change_p,level_change_ci_lo,level_change_ci_hi,slope_change_coef,slope_change_se,slope_change_p,slope_change_ci_lo,slope_change_ci_hi,slope_pre_coef,slope_pre_p,dof,intercept_coef,intercept_se,intercept_p,intercept_ci_lo,intercept_ci_hi,slope_pre_se,slope_pre_ci_lo,slope_pre_ci_hi
airbytehq/airbyte,A1,design_smell_density_per_kloc,51,37,14,0.977920539617251,0.015760348200311275,0.4622688418567515,0.9729470002986307,-0.8902865818389216,0.9218072782395441,0.16669652515675243,0.05078340074151011,0.00194559196614974,0.06716105970339262,0.26623199061011227,-0.35295098049644474,0.0,47,28.322507816356374,0.2402702552165517,0.0,27.851578116131932,28.793437516580816,0.011491793306708775,-0.37547489537759393,-0.33042706561529556
airbytehq/airbyte,A1,implementation_smell_density_per_kloc,51,37,14,0.9552125084300752,-9.005887593942433,1.384982903779426,4.6533600306375433e-08,-11.720454085350108,-6.2913211025347575,-0.09082855231220159,0.15214986487141646,0.5533939935977561,-0.3890422874601779,0.20738518283577467,0.875515106359542,0.0,47,75.94359082976186,0.7198629144569576,0.0,74.53265951742623,77.3545221420975,0.03443004551124504,0.8080322171575017,0.9429979955615823
airbytehq/airbyte,A1,cyclomatic_complexity_p90,51,37,14,-inf,-3.8977332553079355e-16,6.539821374216693e-16,0.5540348734819784,-1.6715783148772654e-15,8.920316638156783e-16,-4.35374870631612e-17,7.184442029247901e-17,0.5474325784946237,-1.8435255083642006e-16,9.727757671009767e-17,-4.806885708384139e-17,0.004851683284348596,47,3.0000000000000013,3.3991573914917435e-16,0.0,3.0000000000000004,3.000000000000002,1.625769870048548e-17,-7.993394653679292e-17,-1.620376763088985e-17
crewAIInc/crewAI,A1,design_smell_density_per_kloc,29,14,15,0.29273816295929467,1.7823726676319145,1.5649427432629213,0.2655253695995743,-1.2849151091634112,4.84966044442724,0.4056566183692796,0.1868252038506377,0.03960281470349547,0.039479218822029705,0.7718340179165295,-0.19526746294359007,0.17141283757640524,25,9.145446618383147,1.0611707614079695,5.890380849749022e-09,7.065551926023527,11.225341310742767,0.1386733387822667,-0.4670672069568328,0.07653228106965268
crewAIInc/crewAI,A1,implementation_smell_density_per_kloc,29,14,15,0.400203904576948,-2.284869343195521,1.9457037224164428,0.25133410616037977,-6.098448639131749,1.5287099527407069,0.4640326081269952,0.23228101867515094,0.05673799541103808,0.00876181152369937,0.919303404730291,0.07321808105429427,0.6747129986772902,25,77.03883781927365,1.319360666375568,0.0,74.45289091317754,79.62478472536976,0.1724134845380996,-0.2647123486403809,0.41114851074896946
crewAIInc/crewAI,A1,cyclomatic_complexity_p90,29,14,15,0.6180411239943833,-0.6610936990412337,0.3298270513341418,0.05597721122685573,-1.3075547196561517,-0.01463267842631577,-0.14486312851540656,0.039375246389192146,0.0011240905079843433,-0.22203861143822318,-0.06768764559258995,0.15563524813493362,1.6108274330628447e-05,25,2.488279138285218,0.22365215897128435,3.5711433810092785e-11,2.0499209067015007,2.926637369868935,0.029226767960756753,0.09835078293185039,0.21291971333801685
mlflow/mlflow,A1,design_smell_density_per_kloc,51,41,10,0.21843089899060886,0.3945209046663332,0.9357500579008711,0.6752323594098808,-1.4395492088193742,2.2285910181520405,-0.30233556917568194,0.1492458893324438,0.04848822431243027,-0.5948575122672717,-0.009813626084092142,-0.011571936000590196,0.5185476895930865,47,22.435727725981508,0.41302175975189315,0.0,21.626205076867798,23.245250375095218,0.017789762029822184,-0.04643986957904167,0.023295997577861282
mlflow/mlflow,A1,implementation_smell_density_per_kloc,51,41,10,0.47997267248294584,-2.74280762557598,0.9611101008984423,0.006406291208184811,-4.6265834233369265,-0.8590318278150331,0.5508480391645723,0.15329064694557393,0.0007788754545356991,0.25039837115124736,0.8512977071778971,0.06979222662002252,0.00039095605825489876,47,96.36880597104135,0.42421518634888095,0.0,95.53734420579755,97.20026773628516,0.01827188770663474,0.033979326715018424,0.10560512652502661
mlflow/mlflow,A1,cyclomatic_complexity_p90,51,41,10,0.7523695058182894,1.2184366757335656,0.13082833851410305,3.022249117634601e-12,0.9620131322459237,1.4748602192212075,-0.13049603336586804,0.020866246885652626,1.1097306407137353e-07,-0.17139387726174718,-0.0895981894699889,0.003477794705875033,0.16859486604724272,47,2.9549295948155576,0.05774506786537162,0.0,2.8417492617994293,3.068109927831686,0.0024872079774634305,-0.0013971329299532903,0.008352722341703357
wieslawsoltes/Dock,A1,design_smell_density_per_kloc,48,42,6,0.6111409011549143,0.5261972889705316,0.9907919900418188,0.5980289684656115,-1.4157550115114335,2.4681495894524965,-0.8992351451340717,0.28762807346148983,0.0031325979077678756,-1.4629861691185917,-0.3354841211495516,-0.06251178837966143,0.0001944067144954431,44,22.87012594135684,0.3657649463074424,0.0,22.153226646594252,23.587025236119427,0.015372175525917579,-0.09264125241045988,-0.03238232434886297
wieslawsoltes/Dock,A1,implementation_smell_density_per_kloc,48,42,6,0.9025088242220122,1.688653039472404,1.0995700772740045,0.131762706164384,-0.4665043119846448,3.8438103909294528,2.8354017632740947,0.3192064794032848,2.262323661739174e-11,2.2097570636436563,3.461046462904533,0.04675381369373323,0.00882889945603349,44,12.442129682393904,0.4059219233881991,0.0,11.646522712553034,13.237736652234775,0.017059871699396083,0.013316465162916909,0.08019116222454956
wieslawsoltes/Dock,A1,cyclomatic_complexity_p90,48,42,6,0.41471833780313005,-1.0791641763284643,0.32383836922158854,0.0017522860235406057,-1.7138873800027778,-0.4444409726541507,-0.02135913904843755,0.09401065732090215,0.8213212746622385,-0.20562002739740576,0.16290174930053064,0.02135913904843896,0.00010897576071311477,44,3.186533384996445,0.1195495370583533,0.0,2.9522162923620723,3.4208504776308173,0.0050243646534637925,0.011511384327649928,0.031206893769227993
