metric,n,dof,r2,intercept_coef,intercept_se,intercept_p,slope_pre_coef_coef,slope_pre_coef_se,slope_pre_coef_p,log1p_agent_pr_count_coef,log1p_agent_pr_count_se,log1p_agent_pr_count_p
cyclomatic_complexity_p90,15,12,0.7015409867657187,0.19836384878606692,0.05197835271412068,0.0024560376462678555,-0.5153573907331587,0.18073052246181623,0.014581472668949628,-0.0415905431816368,0.011736648123781728,0.004043608153276508
design_smell_density_per_kloc,15,12,0.5583550266983577,-0.09243528361026687,0.057518543478793586,0.13402041981098947,-1.0592486893980657,0.29688736649825637,0.003867662776123609,0.018690966151057475,0.012851697471737644,0.17149919973582908
implementation_smell_density_per_kloc,15,12,0.36435226257527076,-0.08069480212184246,0.05255659679811132,0.1506242782362445,-0.8496260038325525,0.37029723947785775,0.040603849885150485,0.019007676490226832,0.011815843399080166,0.1336668216893881
