full_name,track,metric,n,n_pre,n_post,r2,level_change_coef,level_change_se,level_change_p,level_change_ci_lo,level_change_ci_hi,slope_change_coef,slope_change_se,slope_change_p,slope_change_ci_lo,slope_change_ci_hi,slope_pre_coef,slope_pre_p,dof,intercept_coef,intercept_se,intercept_p,intercept_ci_lo,intercept_ci_hi,slope_pre_se,slope_pre_ci_lo,slope_pre_ci_hi,repo_id,language,stars,log1p_stars,agent_pr_count,distinct_agents,dominant_agent,is_degenerate,n_agent_prs_matched,mean_comments,median_comments,log1p_n_agent_prs_matched
3rdIteration/btcrecover,A1,cyclomatic_complexity_p90,51,43,8,0.779046827654184,-0.156002594610247,0.1840667005305311,0.4009935471639889,-0.5167733276500879,0.2047681384295939,-0.0339766972110882,0.0379128965301136,0.3747250869361359,-0.1082859744101109,0.0403325799879345,0.0339766972110901,5.383666070729061e-15,47,5.706041518411385,0.0732848767871787,2.4468291717929866e-51,5.562403159908515,5.849679876914255,0.0030071167739534,0.0280827483341413,0.039870646088039,197336679.0,Python,742.0,6.610696044717759,16,1,OpenAI_Codex,False,9,0.0,0.0,2.302585092994046
567-labs/instructor,A1,cyclomatic_complexity_p90,33,21,12,0.5286807307451142,0.0806134800326945,0.2994658311698615,0.7896888164995374,-0.506339549060234,0.6675665091256231,0.1247009727937377,0.0367307778702415,0.0020064740376864,0.0527086481680644,0.1966932974194111,-0.0129219238103367,0.381612544741215,29,4.129729833257054,0.1706099795734815,8.785210839315647e-21,3.79533427329303,4.464125393221078,0.0145444565095691,-0.0414290585690921,0.0155852109484187,653589102.0,Python,11095.0,9.314339961994667,51,4,Devin,False,2,2.0,2.0,1.0986122886681098
AgentOps-AI/agentops,A1,cyclomatic_complexity_p90,31,16,15,0.8819358724582713,1.570450656505262,0.5341383026645725,0.0066501042124398,0.5235395832826999,2.617361729727824,-0.0140081144072279,0.0599378067552811,0.8169724483588579,-0.1314862156475791,0.1034699868331231,0.1378103484832477,0.0019838651285971,27,2.147226686671624,0.3545581604307912,1.825329620042938e-06,1.4522926922272732,2.8421606811159745,0.0402459650712904,0.0589282569435183,0.216692440022977,679017521.0,Python,4722.0,8.460199469896118,51,3,Devin,False,2,2.0,2.0,1.0986122886681098
Albeoris/Memoria,A1,cyclomatic_complexity_p90,51,41,10,0.8949716649929408,0.9026158313341336,0.0929170835795274,8.095417916752142e-13,0.7204983475182597,1.0847333151500074,-0.0034778032755873,0.0153689326307385,0.8219587748269758,-0.0336009112318348,0.0266453046806602,0.0034778032755866,0.0637897989996795,47,7.9549295948155585,0.0425317440069424,3.664963395794576e-69,7.871567376561951,8.038291813069165,0.001831940935701,-0.0001128009583873,0.0070684075095606,57002284.0,C#,514.0,6.244166900663736,26,1,Copilot,False,3,0.6666666666666666,1.0,1.3862943611198906
Azure/azure-cosmos-dotnet-v3,A1,cyclomatic_complexity_p90,51,41,10,-inf,-4.1558678502289776e-17,1.8585792847347085e-15,0.9822550885499496,-3.684374076582319e-15,3.601256719577739e-15,-1.358509527629075e-15,2.9545291583334563e-16,3.227212901873984e-05,-1.9375972426624326e-15,-7.794218125957173e-16,8.694536071106058e-17,0.0172474408163243,47,3.999999999999999,8.176317825218264e-16,0.0,3.999999999999997,4.000000000000001,3.521729869547385e-17,1.7919455267931848e-17,1.559712661541893e-16,156260788.0,C#,774.0,6.652863029353347,4,1,Copilot,True,1,0.0,0.0,0.6931471805599453
Azure/azure-functions-core-tools,A1,cyclomatic_complexity_p90,51,41,10,0.3569785764450591,-0.8097109320840473,0.2616529549987003,0.0033154247140265,-1.3225507238814995,-0.2968711402865948,-0.0215632312070815,0.0418661130074575,0.6089305925859217,-0.1036208127016983,0.0604943502875352,0.0215632312070814,7.991763161583803e-05,47,4.932741615183929,0.1158596269358073,3.401028042685768e-39,4.705656746389747,5.159826483978111,0.0049903430563324,0.0117821588166699,0.0313443035974929,77990768.0,C#,1399.0,7.24422751560335,10,1,Copilot,False,2,0.0,0.0,1.0986122886681098
Blaizzy/mlx-vlm,A1,cyclomatic_complexity_p90,23,13,10,0.707070026243708,-0.335601412830099,0.169122603342997,0.0618488312701186,-0.6670817153823733,-0.0041211102778246,0.1270185516484777,0.0265851397959364,0.0001308415850647,0.0749116776484421,0.1791254256485132,-1.89084858881472e-16,0.99999999999999,19,5.000000000000003,0.1054055322688111,3.35695382992856e-21,4.793405156753133,5.206594843246872,0.0148666411360608,-0.0291386166266794,0.029138616626679,787462297.0,Python,1551.0,7.347299700743164,9,1,OpenAI_Codex,False,7,0.0,0.0,2.0794415416798357
EduardoPires/EquinoxProject,A1,cyclomatic_complexity_p90,51,41,10,-inf,4.490350462417073e-19,1.396067048148847e-15,0.9997447274523604,-2.7358423793254978e-15,2.7367404494179815e-15,-3.086818234825892e-16,2.2087804193324154e-16,0.1688190955404759,-7.416027856717426e-16,1.242391387065642e-16,-6.335292055671952e-18,0.8108899320435925,47,2.9999999999999987,6.112544417997089e-16,0.0,2.9999999999999973,3.0,2.632814760380337e-17,-5.793846135912655e-17,4.526787724778265e-17,76425236.0,C#,6699.0,8.809862805379057,4,1,OpenAI_Codex,True,3,0.0,0.0,1.3862943611198906
Kiln-AI/Kiln,A1,cyclomatic_complexity_p90,19,10,9,0.5068003909357233,0.0562782660629394,0.3622312070521783,0.8786045500030878,-0.6536948997593299,0.766251431885209,-0.2527024825020776,0.066291479297024,0.0017010201908185,-0.3826337819242448,-0.1227711830799104,0.1027695279203916,0.0310058467956003,15,3.039110353440245,0.2296211089557471,1.1204474323026455e-09,2.589052979886981,3.48916772699351,0.0431784478764584,0.018139770082533,0.1873992857582501,832879402.0,Python,4015.0,8.298041661371565,19,1,OpenAI_Codex,False,7,1.0,1.0,2.0794415416798357
MervinPraison/PraisonAI,A1,cyclomatic_complexity_p90,23,14,9,0.686253552919714,-0.0838136273533486,0.8880282525705184,0.9257941828829436,-1.8243490023915647,1.6567217476848672,-0.648814361779005,0.14513542348855,0.0002622210449488,-0.9332797918165632,-0.3643489317414468,0.3493123675539377,1.7598870251767784e-05,19,3.960158826213992,0.5169051307827566,3.167219202691206e-07,2.947024769879789,4.973292882548195,0.0614353168200539,0.2288991465866319,0.4697255885212434,774497032.0,Python,5243.0,8.56483984488359,6,3,OpenAI_Codex,False,1,7.0,7.0,0.6931471805599453
