full_name,track,metric,n_pre,n_post,reason
Azure/azure-mcp,A1,design_smell_density_per_kloc,1,10,below min_pre=5/min_post=5
Azure/azure-mcp,A1,implementation_smell_density_per_kloc,1,10,below min_pre=5/min_post=5
Azure/azure-mcp,A1,cyclomatic_complexity_p90,1,10,below min_pre=5/min_post=5
Azure/azure-sdk-for-net,A1,design_smell_density_per_kloc,0,0,below min_pre=5/min_post=5
Azure/azure-sdk-for-net,A1,implementation_smell_density_per_kloc,0,0,below min_pre=5/min_post=5
Azure/azure-sdk-for-net,A1,cyclomatic_complexity_p90,21,0,below min_pre=5/min_post=5
OpenPipe/ART,A1,design_smell_density_per_kloc,2,10,below min_pre=5/min_post=5
OpenPipe/ART,A1,implementation_smell_density_per_kloc,2,10,below min_pre=5/min_post=5
OpenPipe/ART,A1,cyclomatic_complexity_p90,2,10,below min_pre=5/min_post=5
bespokelabsai/curator,A1,design_smell_density_per_kloc,2,15,below min_pre=5/min_post=5
bespokelabsai/curator,A1,implementation_smell_density_per_kloc,2,15,below min_pre=5/min_post=5
bespokelabsai/curator,A1,cyclomatic_complexity_p90,2,15,below min_pre=5/min_post=5
dotnet/macios,A1,design_smell_density_per_kloc,1,10,below min_pre=5/min_post=5
dotnet/macios,A1,implementation_smell_density_per_kloc,1,10,below min_pre=5/min_post=5
dotnet/macios,A1,cyclomatic_complexity_p90,1,10,below min_pre=5/min_post=5
dotnet/runtime,A1,design_smell_density_per_kloc,0,0,below min_pre=5/min_post=5
dotnet/runtime,A1,implementation_smell_density_per_kloc,0,0,below min_pre=5/min_post=5
dotnet/runtime,A1,cyclomatic_complexity_p90,1,0,below min_pre=5/min_post=5
featureform/enrichmcp,A1,design_smell_density_per_kloc,1,9,below min_pre=5/min_post=5
featureform/enrichmcp,A1,implementation_smell_density_per_kloc,1,9,below min_pre=5/min_post=5
featureform/enrichmcp,A1,cyclomatic_complexity_p90,1,9,below min_pre=5/min_post=5
marimo-team/marimo,A1,design_smell_density_per_kloc,16,2,below min_pre=5/min_post=5
marimo-team/marimo,A1,implementation_smell_density_per_kloc,16,2,below min_pre=5/min_post=5
marimo-team/marimo,A1,cyclomatic_complexity_p90,16,2,below min_pre=5/min_post=5
microsoft/Generative-AI-for-beginners-dotnet,A1,design_smell_density_per_kloc,4,10,below min_pre=5/min_post=5
microsoft/Generative-AI-for-beginners-dotnet,A1,implementation_smell_density_per_kloc,4,10,below min_pre=5/min_post=5
microsoft/Generative-AI-for-beginners-dotnet,A1,cyclomatic_complexity_p90,4,10,below min_pre=5/min_post=5
openai/openai-agents-python,A1,design_smell_density_per_kloc,2,10,below min_pre=5/min_post=5
openai/openai-agents-python,A1,implementation_smell_density_per_kloc,2,10,below min_pre=5/min_post=5
openai/openai-agents-python,A1,cyclomatic_complexity_p90,2,10,below min_pre=5/min_post=5
oraios/serena,A1,design_smell_density_per_kloc,3,9,below min_pre=5/min_post=5
oraios/serena,A1,implementation_smell_density_per_kloc,3,9,below min_pre=5/min_post=5
oraios/serena,A1,cyclomatic_complexity_p90,3,9,below min_pre=5/min_post=5
saturday06/VRM-Addon-for-Blender,A1,design_smell_density_per_kloc,3,0,below min_pre=5/min_post=5
saturday06/VRM-Addon-for-Blender,A1,implementation_smell_density_per_kloc,3,0,below min_pre=5/min_post=5
saturday06/VRM-Addon-for-Blender,A1,cyclomatic_complexity_p90,3,0,below min_pre=5/min_post=5
skypilot-org/skypilot,A1,design_smell_density_per_kloc,2,0,below min_pre=5/min_post=5
skypilot-org/skypilot,A1,implementation_smell_density_per_kloc,2,0,below min_pre=5/min_post=5
skypilot-org/skypilot,A1,cyclomatic_complexity_p90,2,0,below min_pre=5/min_post=5
tinygrad/tinygrad,A1,design_smell_density_per_kloc,0,9,below min_pre=5/min_post=5
tinygrad/tinygrad,A1,implementation_smell_density_per_kloc,0,9,below min_pre=5/min_post=5
tinygrad/tinygrad,A1,cyclomatic_complexity_p90,0,9,below min_pre=5/min_post=5
vlm-run/vlmrun-hub,A1,design_smell_density_per_kloc,2,13,below min_pre=5/min_post=5
vlm-run/vlmrun-hub,A1,implementation_smell_density_per_kloc,2,13,below min_pre=5/min_post=5
vlm-run/vlmrun-hub,A1,cyclomatic_complexity_p90,1,13,below min_pre=5/min_post=5
willccbb/verifiers,A1,design_smell_density_per_kloc,4,9,below min_pre=5/min_post=5
willccbb/verifiers,A1,implementation_smell_density_per_kloc,4,9,below min_pre=5/min_post=5
willccbb/verifiers,A1,cyclomatic_complexity_p90,4,9,below min_pre=5/min_post=5
