resolution,n_significant_total,by_type_weighted_mean_agreement,by_type_n_groups_with_2plus_sig,by_repo_weighted_mean_agreement,by_repo_n_groups_with_2plus_sig
4-subtype,98,0.567847882454624,4,0.6101694915254238,28
2-bucket-baseline,60,0.5540386803185438,2,0.7619047619047619,21
