full_name,n_agent_prs_matched,mean_comments,median_comments,has_review_data
567-labs/instructor,2,2.0,2.0,True
AgentOps-AI/agentops,2,2.0,2.0,True
Significant-Gravitas/AutoGPT,10,5.3,3.5,True
airbytehq/airbyte,11,4.181818181818182,4.0,True
browser-use/browser-use,2,3.5,3.5,True
crewAIInc/crewAI,15,2.7333333333333334,2.0,True
crewAIInc/crewAI-tools,6,2.6666666666666665,3.0,True
dotnet/aspnetcore,4,4.0,5.0,True
dotnet/maui,4,4.5,5.0,True
elsa-workflows/elsa-core,7,0.0,0.0,True
ikamensh/flynt,9,0.2222222222222222,0.0,True
microsoft/testfx,4,2.25,2.0,True
mlflow/mlflow,4,5.25,4.0,True
wieslawsoltes/Dock,20,0.0,0.0,True
wieslawsoltes/Svg.Skia,9,0.0,0.0,True
3rdIteration/btcrecover,0,,,False
Albeoris/Memoria,0,,,False
Azure/azure-cosmos-dotnet-v3,0,,,False
Azure/azure-functions-core-tools,0,,,False
Azure/data-api-builder,0,,,False
BerriAI/litellm,0,,,False
Blaizzy/mlx-vlm,0,,,False
DaveSkender/Stock.Indicators,0,,,False
EduardoPires/EquinoxProject,0,,,False
Kiln-AI/Kiln,0,,,False
MervinPraison/PraisonAI,0,,,False
NethermindEth/nethermind,0,,,False
NewFuture/DDNS,0,,,False
PriorLabs/TabPFN,0,,,False
PromtEngineer/localGPT,0,,,False
Skyvern-AI/skyvern,0,,,False
TobikoData/sqlmesh,0,,,False
aipotheosis-labs/aci,0,,,False
alexanderjeurissen/ranger_devicons,0,,,False
bentoml/BentoML,0,,,False
bruin-data/ingestr,0,,,False
cartography-cncf/cartography,0,,,False
commaai/opendbc,0,,,False
dagster-io/dagster,0,,,False
dotnet/android,0,,,False
dotnet/aspire,0,,,False
dotnet/docfx,0,,,False
dotnet/dotnet-api-docs,0,,,False
dotnet/msbuild,0,,,False
dotnet/sdk,0,,,False
dropseed/plain,0,,,False
getsentry/sentry,0,,,False
graphistry/pygraphistry,0,,,False
janbjorge/pgqueuer,0,,,False
keephq/keep,0,,,False
langbot-app/LangBot,0,,,False
langchain-ai/langgraph,0,,,False
mangiucugna/json_repair,0,,,False
microsoft/PowerToys,0,,,False
microsoft/WinUI-Gallery,0,,,False
microsoft/autogen,0,,,False
microsoft/fluentui-blazor,0,,,False
microsoft/magentic-ui,0,,,False
microsoft/perfview,0,,,False
microsoft/vstest,0,,,False
mrwadams/stride-gpt,0,,,False
netket/netket,0,,,False
nkdAgility/azure-devops-migration-tools,0,,,False
onnx/onnx,0,,,False
onyx-dot-app/onyx,0,,,False
pardeike/Harmony,0,,,False
peass-ng/PEASS-ng,0,,,False
pytorch/pytorch,0,,,False
reflex-dev/reflex,0,,,False
roboflow/inference,0,,,False
spcl/dace,0,,,False
stanfordnlp/dspy,0,,,False
syncfusion/maui-toolkit,0,,,False
ucbepic/docetl,0,,,False
vllm-project/vllm,0,,,False
wandb/weave,0,,,False
wizarrrr/wizarr,0,,,False
writer/writer-framework,0,,,False
zenml-io/zenml,0,,,False
