repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_lcom_sampled,class_loc_p50,class_loc_p90,method_loc_p50,method_loc_p90,cyclomatic_complexity_p50,cyclomatic_complexity_p90,pc_p50,pc_p90,wmc_p50,wmc_p90,lcom_p50,lcom_p90,dit_p50,dit_p90,fan_in_p50,fan_in_p90,fan_out_p50,fan_out_p90,status
56319070.0,nkdAgility/azure-devops-migration-tools,C#,A1,2022-01-01T00:00:00+00:00,b593051ba171ffc2c4bbe3f3dddb50231804ea4f,20611,307,0,367,958,0,20,96,7,28.300000000000068,1,4,1,3,2,12.400000000000034,0,10,0,1,1,5,1,6,ok
56319070.0,nkdAgility/azure-devops-migration-tools,C#,A1,2022-02-01T00:00:00+00:00,0eb3278b76d22464fc5af4e164400243583cca82,20610,309,0,368,956,0,20,96,7,28.5,1,4,1,3,2,12.300000000000011,0,10,0,1,1,4.300000000000011,1,6,ok
56319070.0,nkdAgility/azure-devops-migration-tools,C#,A1,2022-03-01T00:00:00+00:00,d09bc44108343f8f76c43bb7529828ed3ad9d87e,20625,309,0,368,958,0,20,96,7,28.300000000000068,1,4,1,3,2,12.300000000000011,0,10,0,1,1,4.300000000000011,1,6,ok
56319070.0,nkdAgility/azure-devops-migration-tools,C#,A1,2022-04-01T00:00:00+00:00,ce1ac83fa8499433d42500d1c1db0ac1130a436e,21158,310,0,370,978,0,20,96.50000000000011,7,29,1,4,1,3,2,12.100000000000023,0,10,0,1,1,4.100000000000023,1,6,ok
56319070.0,nkdAgility/azure-devops-migration-tools,C#,A1,2022-05-01T00:00:00+00:00,ce9c89761306092fdc2ca2670dfce164a6841834,21198,310,0,372,979,0,20,99.60000000000014,7,29,1,4,1,3,2,12,0,10,0,1,1,4,1,6,ok
56319070.0,nkdAgility/azure-devops-migration-tools,C#,A1,2022-06-01T00:00:00+00:00,0a7aaccadc60744d47a1b1386e059860a40543dd,21219,310,0,372,980,0,20,99.60000000000014,7,29,1,4,1,3,2,12,0,10,0,1,1,4,1,6,ok
56319070.0,nkdAgility/azure-devops-migration-tools,C#,A1,2022-07-01T00:00:00+00:00,c7427a43d7e4e74c734d369b18cdd787738ddbc7,21442,310,0,372,985,0,20,100.90000000000003,7,29,1,4,1,3,2,12,0,10,0,1,1,5,1,6,ok
56319070.0,nkdAgility/azure-devops-migration-tools,C#,A1,2022-08-01T00:00:00+00:00,10f992661b23c1c65ae08ca8056f3ffc618b404f,21558,310,0,372,987,0,20,100.90000000000003,7,29,1,4,1,3,2,12,0,10,0,1,1,5,1,6,ok
56319070.0,nkdAgility/azure-devops-migration-tools,C#,A1,2022-09-01T00:00:00+00:00,236bbfc27a199b29ea7897378bc4e1d8bea05dab,21570,310,0,372,987,0,20,100.90000000000003,7,29,1,4,1,3,2,12,0,10,0,1,1,5,1,6,ok
56319070.0,nkdAgility/azure-devops-migration-tools,C#,A1,2022-10-01T00:00:00+00:00,6c17efe4c253cde6fc14c683adc10dc72e814e7d,22183,315,0,386,1009,0,20,105,7,30,1,4,1,3,2,13,0,10,0,1,1,5,1,6,ok
