full_name,n_agent,n_other,median_agent,median_other,mannwhitney_p,cliffs_delta
Azure/data-api-builder,2,42,0.8818342239870398,0.987122239532342,0.41385618566698,-0.35714285714285715
NewFuture/DDNS,42,181,0.3678114703115636,0.3966175090134733,0.0074829552201495265,-0.24362009997369113
dotnet/aspire,10,159,1.9974219875544068,0.999467734031588,0.00013970226569043386,0.7194968553459119
featureform/enrichmcp,20,59,0.5789313452542284,0.7087209848471737,0.0273067144623899,-0.33220338983050846
janbjorge/pgqueuer,2,207,0.34260225161504293,0.6981302939954892,0.2668147906307555,-0.45893719806763283
microsoft/testfx,18,80,0.6429214135049682,1.059883878248268,0.14314056828469848,-0.2222222222222222
mlflow/mlflow,5,422,1.0215724325458708,0.9898281245016929,0.8425219089611153,-0.052132701421800945
vlm-run/vlmrun-hub,4,18,0.7313970222049281,0.7569615756113575,0.4690798787174332,-0.25
willccbb/verifiers,15,170,0.993741655224492,1.0232706829688596,0.7532309324307984,0.04941176470588235
"pooled (non-independent, see caveat)",121,15592,0.6533687502141379,0.9772837765232574,0.00021948368911549551,-0.19463361164233406
