full_name,n_agent,n_other,pct_survived_agent,pct_survived_other,fisher_p,odds_ratio
AgentOps-AI/agentops,6,18,100.0,100.0,1.0,
NewFuture/DDNS,405,1185,99.25925925925925,98.22784810126582,0.16343221472714284,2.417525773195876
airbytehq/airbyte,22,66,100.0,96.96969696969697,1.0,inf
commaai/opendbc,6,18,100.0,83.33333333333334,0.5464426877470356,inf
featureform/enrichmcp,80,240,90.0,96.25,0.04252323794453773,0.35064935064935066
ikamensh/flynt,10,30,100.0,96.66666666666667,1.0,inf
janbjorge/pgqueuer,21,63,90.47619047619048,93.65079365079364,0.6368696459192744,0.6440677966101694
keephq/keep,16,48,100.0,85.41666666666666,0.1777653599859805,inf
marimo-team/marimo,22,66,95.45454545454545,96.96969696969697,1.0,0.65625
microsoft/autogen,10,30,100.0,90.0,0.5597165991902835,inf
mlflow/mlflow,78,234,98.71794871794873,96.58119658119658,0.4591010819835568,2.725663716814159
stanford-crfm/levanter,5,15,100.0,100.0,1.0,
ucbepic/docetl,18,54,100.0,96.29629629629629,1.0,inf
vlm-run/vlmrun-hub,19,57,89.47368421052632,96.49122807017544,0.25879303961495737,0.3090909090909091
willccbb/verifiers,63,189,88.88888888888889,94.70899470899471,0.14411269626056183,0.44692737430167595
"pooled (non-independent, see caveat)",805,2355,97.01863354037266,96.81528662420382,0.9067040639912611,1.0704495614035088
