metric,drop_degenerate,re_structure,converged,at_variance_boundary,n_repos,n_obs,aic,bic,log_likelihood,scale,Intercept_coef,Intercept_se,Intercept_p,t_abs_coef,t_abs_se,t_abs_p,post_num_coef,post_num_se,post_num_p,t_rel_post_coef,t_rel_post_se,t_rel_post_p,re_var_Group,re_cov_Group_t_rel_post,re_var_t_rel_post,re_cov_Group_post_num,re_var_post_num,re_cov_post_num_t_rel_post
design_smell_density_per_kloc,False,intercept + t_rel_post,True,True,79,3303,,,-4826.9669486258135,0.9594603775184787,0.6561803185233644,0.20186158936516294,0.0011514363101803962,0.01110724932216634,0.0017704894403479485,3.529135538027509e-10,-0.13350157027985435,0.0768020075067224,0.08216566992777584,-0.011959345774594841,0.013607558223681449,0.37946893396083325,3.1285175587046776,0.10684368363657391,0.0038829128005282176,,,
implementation_smell_density_per_kloc,False,intercept + post + t_rel_post,True,True,79,3303,,,-1447.057421880143,0.11180268621295429,1.4211062795347056,0.14301747278218616,2.885296267663595e-23,0.004877961622045915,0.0006133268649318702,1.8163399944674884e-15,0.004377291828048434,0.05136817724118495,0.9320911991934657,-0.006803817139023916,0.005819721600280806,0.24236468571330294,1.6041819126754113,-0.021133591704653183,0.0012703274517849189,-0.13217766328146555,0.15176881406831466,0.0014657260282911842
cyclomatic_complexity_p90,False,intercept + post + t_rel_post,True,True,79,3300,,,-3545.202524100292,0.3920933695696667,4.886076642306898,0.22056426520688574,9.84225612316099e-109,0.005677631822451494,0.0011534088720512124,8.54544070807985e-07,0.19619562617366915,0.15158974510136883,0.1955777176020439,-0.006695523005588544,0.011856951226277803,0.572283419804342,3.8017504644600297,-0.07040767466920538,0.006147117636344303,-0.6254688015946638,1.6164774146817613,0.04526567788883968
design_smell_density_per_kloc,True,intercept + t_rel_post,True,True,75,3136,,,-4662.515949117667,1.0073262471971407,0.6932012708696824,0.22143732137550054,0.001745311730965474,0.011618369447266233,0.0018587730539082453,4.089878763076354e-10,-0.14143189666919245,0.08082198274426149,0.08013234834182076,-0.01220717744877829,0.014847128945715316,0.4109681368062482,3.582663862477291,0.13418538053490212,0.005212267936048396,,,
implementation_smell_density_per_kloc,True,intercept + t_rel_post,True,True,77,3217,,,-1549.7386857815109,0.12596749049901892,1.4637533877361388,0.11448041827145854,1.9617220272410598e-37,0.0048348453425299505,0.0006519238326776228,1.2046175636078576e-13,0.009307799889819137,0.02880230293079352,0.7465728188570564,-0.008005398998769526,0.008852574038390761,0.3658353709660712,0.9966410892433832,-0.024491600384146616,0.004418015679302536,,,
cyclomatic_complexity_p90,True,intercept + post + t_rel_post,True,True,63,2570,,,-3078.4409296836056,0.5031030303931474,5.090547317807784,0.24971090240808583,2.237006115422798e-92,0.00769860780407482,0.001518153637805651,3.956613176100059e-07,0.22630451470101068,0.18956862499632632,0.2325613919276217,-0.009315589663056185,0.01474085769514702,0.5274149109887059,3.8741080472701546,-0.08774204832837168,0.007436814714243266,-0.8386002290717575,2.009415895294362,0.05805588286123058
