full_name,metric,drop_degenerate,re_Group,re_t_rel_post,re_post_num
roboflow/inference,design_smell_density_per_kloc,False,-0.6973170773599522,-0.022379358664087832,
spcl/dace,design_smell_density_per_kloc,False,-0.7703171449165243,-0.025524358062438524,
stanfordnlp/dspy,design_smell_density_per_kloc,False,-0.6619242190913385,-0.0222116950277715,
syncfusion/maui-toolkit,design_smell_density_per_kloc,False,0.015619122345152758,0.0006838085093683869,
ucbepic/docetl,design_smell_density_per_kloc,False,-0.5930801088623867,-0.019544207903200286,
vllm-project/vllm,design_smell_density_per_kloc,False,-0.5607090086701888,-0.019057498164937122,
wandb/weave,design_smell_density_per_kloc,False,-0.7662032581970191,-0.025582961531885638,
wieslawsoltes/Dock,design_smell_density_per_kloc,False,0.39804438365117933,0.01672510260514986,
wieslawsoltes/Svg.Skia,design_smell_density_per_kloc,False,0.34414697991841875,0.0091408312875187,
wizarrrr/wizarr,design_smell_density_per_kloc,False,-0.7172538167126784,-0.02163347079481512,
writer/writer-framework,design_smell_density_per_kloc,False,-0.5820123933802271,-0.02064307907512023,
zenml-io/zenml,design_smell_density_per_kloc,False,-0.48612681030703875,-0.014681221234775544,
3rdIteration/btcrecover,implementation_smell_density_per_kloc,False,-0.4465297492204688,0.00501872523291037,0.008716066497156791
567-labs/instructor,implementation_smell_density_per_kloc,False,-0.5286220092875402,0.011503399841934003,-0.16951140755770133
AgentOps-AI/agentops,implementation_smell_density_per_kloc,False,-0.48777358620016825,-0.0042129742044100535,0.838396208506308
Albeoris/Memoria,implementation_smell_density_per_kloc,False,0.7688851569963405,-0.006639484801860403,-0.11406158493187002
Azure/azure-cosmos-dotnet-v3,implementation_smell_density_per_kloc,False,0.666329268402559,-0.006528312580311414,-0.08255428629224192
Azure/azure-functions-core-tools,implementation_smell_density_per_kloc,False,1.0795020602498842,-0.018431435991904707,-0.1576552905043961
Azure/data-api-builder,implementation_smell_density_per_kloc,False,-0.9221351132238235,0.01324196231429774,0.06935069654091958
BerriAI/litellm,implementation_smell_density_per_kloc,False,-0.11795925785022486,-0.017081873066727527,-0.0029625557228063846
Blaizzy/mlx-vlm,implementation_smell_density_per_kloc,False,-0.9010370859223782,0.04744460465495579,0.45534524685875594
DaveSkender/Stock.Indicators,implementation_smell_density_per_kloc,False,3.529445736516186,-0.02997762156994869,-0.22120328420646165
EduardoPires/EquinoxProject,implementation_smell_density_per_kloc,False,0.02085738025661525,-0.005471643563371488,-0.3260348134207049
Kiln-AI/Kiln,implementation_smell_density_per_kloc,False,-0.7488584926912777,0.01045647218629413,0.28179894005876827
MervinPraison/PraisonAI,implementation_smell_density_per_kloc,False,-0.20512682033547455,0.06449175552933543,-0.4896165501871301
NethermindEth/nethermind,implementation_smell_density_per_kloc,False,1.578659642903062,-0.007603994478676166,0.011796653862902094
NewFuture/DDNS,implementation_smell_density_per_kloc,False,-1.01204214557184,-0.004603108705961271,-0.29867931657379726
PriorLabs/TabPFN,implementation_smell_density_per_kloc,False,-0.1280433329083304,-0.03765183519194217,-0.6692398600206648
PromtEngineer/localGPT,implementation_smell_density_per_kloc,False,-1.46156673003887,0.025160356113596214,0.7292185060608193
Significant-Gravitas/AutoGPT,implementation_smell_density_per_kloc,False,-0.06946719242521641,0.019714057663889714,0.19852741231584703
Skyvern-AI/skyvern,implementation_smell_density_per_kloc,False,2.835932827402357,-0.0484732883836912,-1.307255134922707
TobikoData/sqlmesh,implementation_smell_density_per_kloc,False,-0.23121240206035246,-0.005627922139594941,-0.1222304127917905
aipotheosis-labs/aci,implementation_smell_density_per_kloc,False,-1.24306068597716,0.027916360857120646,0.4592175952298287
airbytehq/airbyte,implementation_smell_density_per_kloc,False,-0.13845286972052442,-0.01940559301157737,-0.19670064559627182
alexanderjeurissen/ranger_devicons,implementation_smell_density_per_kloc,False,-1.5198169724574018,0.008146803527254507,-0.11434381171340548
bentoml/BentoML,implementation_smell_density_per_kloc,False,-0.40590228587916577,0.013572201491332193,0.3494912144215106
browser-use/browser-use,implementation_smell_density_per_kloc,False,1.162897051424922,0.00039036189818571866,-0.4910325286779765
bruin-data/ingestr,implementation_smell_density_per_kloc,False,-0.7788698512254307,-0.0021614214510463025,0.00019484976696660736
cartography-cncf/cartography,implementation_smell_density_per_kloc,False,-1.4477009085448986,0.00610363526396528,-0.12058371450179321
commaai/opendbc,implementation_smell_density_per_kloc,False,0.9321018542776224,-0.011441263968120896,-0.34019869424018573
crewAIInc/crewAI,implementation_smell_density_per_kloc,False,-0.30706026652532836,0.03719553836460766,-0.15630558296754835
crewAIInc/crewAI-tools,implementation_smell_density_per_kloc,False,-0.41916002481602094,0.011639518261225463,0.9998902508886299
dagster-io/dagster,implementation_smell_density_per_kloc,False,-0.8962864666824364,0.009274016531937273,0.04290916323059706
dotnet/android,implementation_smell_density_per_kloc,False,0.9774154127974474,-0.0037096739551306973,-0.0838009262529231
dotnet/aspire,implementation_smell_density_per_kloc,False,0.9537817490247069,-0.01044831932909582,0.12376983528645225
dotnet/aspnetcore,implementation_smell_density_per_kloc,False,1.3573480740858435,-0.0068621303659748825,0.0008729847229555353
dotnet/docfx,implementation_smell_density_per_kloc,False,1.579793618128576,-0.012921712617728336,-0.1562533348329581
dotnet/dotnet-api-docs,implementation_smell_density_per_kloc,False,-0.2385686461159529,-0.00029567036728836345,-0.13892777144395158
dotnet/maui,implementation_smell_density_per_kloc,False,1.1738748126291687,-0.007306991132648166,0.09327594595057463
dotnet/msbuild,implementation_smell_density_per_kloc,False,0.09130629175663153,0.003394767349642613,0.08713904370307327
dotnet/sdk,implementation_smell_density_per_kloc,False,0.31365642167512997,-0.030883366514394505,-0.10705403322014659
dropseed/plain,implementation_smell_density_per_kloc,False,0.9024755043649888,-0.006458294849701106,0.32514565761100994
elsa-workflows/elsa-core,implementation_smell_density_per_kloc,False,0.2551413306217563,-0.03425839458523164,0.002364691586486983
getsentry/sentry,implementation_smell_density_per_kloc,False,0.000549657666394815,-0.0037319388667296813,-0.22186045980122152
graphistry/pygraphistry,implementation_smell_density_per_kloc,False,0.30208508139720136,-0.03113288755577108,-0.039296909597031436
ikamensh/flynt,implementation_smell_density_per_kloc,False,-0.9983017369508975,0.007606907282963647,-0.1525339631605771
janbjorge/pgqueuer,implementation_smell_density_per_kloc,False,-1.0046460425797779,0.004210524753979439,0.03541897609050546
keephq/keep,implementation_smell_density_per_kloc,False,-0.017573990113078603,0.0041756186779069926,0.1983035682723747
langbot-app/LangBot,implementation_smell_density_per_kloc,False,2.083793546457092,-0.10271646803492124,-0.1843775353011159
langchain-ai/langgraph,implementation_smell_density_per_kloc,False,-0.6773915956962642,0.002545015276269339,0.08712529941138003
mangiucugna/json_repair,implementation_smell_density_per_kloc,False,-1.073738901876629,-0.020787394157223818,-0.20649619638455524
microsoft/PowerToys,implementation_smell_density_per_kloc,False,0.0783777756322539,8.92050416728799e-05,0.029253165517434
microsoft/WinUI-Gallery,implementation_smell_density_per_kloc,False,-0.5043392333688115,0.007853470563841754,0.039828029280819986
microsoft/autogen,implementation_smell_density_per_kloc,False,-0.0841617682771716,0.0059020144414954285,0.4264847412997177
microsoft/fluentui-blazor,implementation_smell_density_per_kloc,False,-0.7717778235752387,0.004335048995007589,0.01735176841057888
microsoft/magentic-ui,implementation_smell_density_per_kloc,False,0.03233645548391093,0.0003402448990314481,-0.15199620718516785
microsoft/perfview,implementation_smell_density_per_kloc,False,0.7521417928994417,-0.004544332259130293,0.06073298719553431
microsoft/testfx,implementation_smell_density_per_kloc,False,-0.6798791739896499,-0.00838117115152754,-0.6845301742254591
microsoft/vstest,implementation_smell_density_per_kloc,False,-0.9751891397550052,0.006391416897814448,-0.06325537788517069
mlflow/mlflow,implementation_smell_density_per_kloc,False,-1.0160561466807052,0.01242612428471549,-0.014988249079195774
mrwadams/stride-gpt,implementation_smell_density_per_kloc,False,-1.475780221324396,0.005880666951599745,-0.07003464777927365
netket/netket,implementation_smell_density_per_kloc,False,-0.8173499908274233,0.0022162642093927075,-0.2910977748306662
nkdAgility/azure-devops-migration-tools,implementation_smell_density_per_kloc,False,2.078993759628899,-0.006058467804566313,0.46329680335699314
onnx/onnx,implementation_smell_density_per_kloc,False,-0.8026865617384519,0.0040690896993598145,-0.061213598251316274
onyx-dot-app/onyx,implementation_smell_density_per_kloc,False,-0.23881454032176985,0.0030057835861438237,0.05963590707323455
pardeike/Harmony,implementation_smell_density_per_kloc,False,1.5028030527708804,-0.008609578201613307,0.1900357550354539
peass-ng/PEASS-ng,implementation_smell_density_per_kloc,False,0.9421545146199756,-0.00595694640677195,-0.11090811369496463
pytorch/pytorch,implementation_smell_density_per_kloc,False,0.6243092345871251,0.0036779853199736374,0.0884074088825437
reflex-dev/reflex,implementation_smell_density_per_kloc,False,-0.7181760801575641,0.010748746506894075,-0.0013456154575701145
roboflow/inference,implementation_smell_density_per_kloc,False,-0.8544487940631332,0.009499137338622878,-0.19899996932578481
spcl/dace,implementation_smell_density_per_kloc,False,0.6314429438271487,-0.011761989378008493,-0.22892723609350693
stanfordnlp/dspy,implementation_smell_density_per_kloc,False,0.1390172219523548,-0.02004694826907759,-0.749772822784611
syncfusion/maui-toolkit,implementation_smell_density_per_kloc,False,0.8634374101948369,0.009049859466222497,0.5563192125495244
ucbepic/docetl,implementation_smell_density_per_kloc,False,-0.9580833432891573,0.009384833556509981,-0.11115729410934311
vllm-project/vllm,implementation_smell_density_per_kloc,False,-0.24331369041036874,0.004520627451975699,-0.14997837305512024
wandb/weave,implementation_smell_density_per_kloc,False,-0.528946817195359,0.0274137794850133,0.04848745274358332
wieslawsoltes/Dock,implementation_smell_density_per_kloc,False,0.24276413758156828,0.02545837542843323,0.20378994484004628
wieslawsoltes/Svg.Skia,implementation_smell_density_per_kloc,False,1.455245646262998,-0.008342675307400212,-0.10056632846499967
wizarrrr/wizarr,implementation_smell_density_per_kloc,False,-1.4421301380522442,0.05633266633005409,1.547558089405628
writer/writer-framework,implementation_smell_density_per_kloc,False,-1.0243003576552563,0.01706563257914283,0.5532309187623742
zenml-io/zenml,implementation_smell_density_per_kloc,False,-0.34651744090105363,0.011663548112606762,-0.02313860418093303
3rdIteration/btcrecover,cyclomatic_complexity_p90,False,1.411980205511063,-0.006775900168730025,0.2787348438531058
567-labs/instructor,cyclomatic_complexity_p90,False,-0.9493732123748863,0.0690556804722884,-0.003378281920925346
AgentOps-AI/agentops,cyclomatic_complexity_p90,False,-1.7168806068761415,0.12218601293061125,2.424271594330348
Albeoris/Memoria,cyclomatic_complexity_p90,False,3.021731666067709,-0.008863556747478723,0.6819978748089272
Azure/azure-cosmos-dotnet-v3,cyclomatic_complexity_p90,False,-0.9989098346568097,0.001802759851809943,-0.30688276007064796
Azure/azure-functions-core-tools,cyclomatic_complexity_p90,False,0.3598035134147769,-0.013408592656163478,-0.5887790544691547
Azure/data-api-builder,cyclomatic_complexity_p90,False,-0.5968133843446698,0.00935833300434817,0.2385759996590984
BerriAI/litellm,cyclomatic_complexity_p90,False,4.234359554729666,-0.06587510442460326,-1.9041827000713571
Blaizzy/mlx-vlm,cyclomatic_complexity_p90,False,0.06123764048739077,0.05254457400022647,-0.15649070409636723
DaveSkender/Stock.Indicators,cyclomatic_complexity_p90,False,-1.8341923596480345,0.0049543957159404114,-0.48082215104676657
EduardoPires/EquinoxProject,cyclomatic_complexity_p90,False,-1.996776865369915,0.008412166100496533,-0.3378162342639442
Kiln-AI/Kiln,cyclomatic_complexity_p90,False,-1.383999522656069,-0.04672117108637819,-0.19367442019083062
MervinPraison/PraisonAI,cyclomatic_complexity_p90,False,1.5638026439733803,-0.09823708645652136,1.033731090688247
NethermindEth/nethermind,cyclomatic_complexity_p90,False,-1.0018136777997058,0.0022461309821576207,-0.31011500853493823
NewFuture/DDNS,cyclomatic_complexity_p90,False,3.9796250971307523,-0.23179058367409675,-3.73441274232353
PriorLabs/TabPFN,cyclomatic_complexity_p90,False,1.328056751738848,-0.11333376655445228,0.15245846621313305
PromtEngineer/localGPT,cyclomatic_complexity_p90,False,1.7977744373749807,0.02534712392606497,1.8102268508549866
Significant-Gravitas/AutoGPT,cyclomatic_complexity_p90,False,0.31170220846139957,0.006362304424504431,0.4224067578089655
Skyvern-AI/skyvern,cyclomatic_complexity_p90,False,1.5692747945143732,0.017084440577685083,0.47971415371589665
TobikoData/sqlmesh,cyclomatic_complexity_p90,False,-0.19477956398845658,0.0008825254436857371,-0.05007911702120476
aipotheosis-labs/aci,cyclomatic_complexity_p90,False,-0.4893088742627191,-0.007168669394698129,-0.5786367298905769
airbytehq/airbyte,cyclomatic_complexity_p90,False,-1.6831731524714737,0.004978956402238642,0.3319241433265846
alexanderjeurissen/ranger_devicons,cyclomatic_complexity_p90,False,-3.097829985006644,-0.0014162609065661838,-1.0504910058392165
bentoml/BentoML,cyclomatic_complexity_p90,False,-0.1299717823102921,0.010920857591897662,0.7552531632069718
browser-use/browser-use,cyclomatic_complexity_p90,False,1.078168089679841,0.10467400565496743,2.6054285164061217
bruin-data/ingestr,cyclomatic_complexity_p90,False,0.8043419775634046,0.013942272453184662,0.9356969830738973
cartography-cncf/cartography,cyclomatic_complexity_p90,False,-1.0017747655114546,0.0020184194078243243,-0.3073079943118617
commaai/opendbc,cyclomatic_complexity_p90,False,1.151891269548988,0.002074113128925087,0.5141609179327598
crewAIInc/crewAI,cyclomatic_complexity_p90,False,-1.1831160853272045,0.014814673246865128,0.9083117985394745
crewAIInc/crewAI-tools,cyclomatic_complexity_p90,False,-1.467363666269516,0.06345279620323432,1.6680122861394204
dagster-io/dagster,cyclomatic_complexity_p90,False,-1.9959603055151989,0.028509807253017442,0.5369981059744157
dotnet/android,cyclomatic_complexity_p90,False,0.8904998270293866,0.049492330965836655,-0.7403897151266262
dotnet/aspire,cyclomatic_complexity_p90,False,-0.9386234480485666,0.0023886019489882102,-0.25243342704637584
dotnet/aspnetcore,cyclomatic_complexity_p90,False,-1.9967767496315958,0.008411032074440538,-0.33781377037264876
dotnet/docfx,cyclomatic_complexity_p90,False,0.02317769788897162,-0.005412113523783951,-0.2969175358934122
dotnet/dotnet-api-docs,cyclomatic_complexity_p90,False,-1.9998055330956428,0.009748088131899483,-0.3408860579670526
dotnet/maui,cyclomatic_complexity_p90,False,-0.9989060922979883,0.0017834809093491843,-0.30659393534685975
