metric,outcome,n_python,n_csharp,median_python,median_csharp,mannwhitney_p,cliffs_delta
cyclomatic_complexity_p90,level_change_coef,51,28,-4.1847522786867704e-17,-1.5955756969421234e-16,0.6855984098666141,0.056022408963585436
cyclomatic_complexity_p90,slope_change_coef,51,28,-0.0283744304891766,-1.6064475703799958e-16,0.01971923356445394,-0.31932773109243695
design_smell_density_per_kloc,level_change_coef,51,28,0.0,-0.014138098397731901,0.6119047612412918,0.0700280112044818
design_smell_density_per_kloc,slope_change_coef,51,28,-0.0022436827157847,-0.0014895337952224499,0.7938107166360993,-0.036414565826330535
implementation_smell_density_per_kloc,level_change_coef,51,28,-0.0278736844685184,0.0164271743073185,0.24890233821569685,-0.15826330532212884
implementation_smell_density_per_kloc,slope_change_coef,51,28,-0.0046128934119609,-0.0031063994639946,0.87377879860916,-0.022408963585434174
