scope,n,n_repos,slope_pre_coef_coef,slope_pre_coef_p,log1p_agent_pr_count_coef,log1p_agent_pr_count_p,re_var_intercept,converged,warnings
cyclomatic_complexity_p90,79,79,-0.9698136777998109,1.0977082635419885e-198,0.00989162313259385,0.4568141598894665,0.006133523126994244,True,The MLE may be on the boundary of the parameter space. | The Hessian matrix at the estimated parameter values is not positive definite. | note: hard-failure-sounding warning present but result.converged=True
design_smell_density_per_kloc,79,79,-1.2091273460576184,0.0,-0.00019497655142865426,0.9373510609976508,0.00027287669765143605,True,The MLE may be on the boundary of the parameter space. | The Hessian matrix at the estimated parameter values is not positive definite. | note: hard-failure-sounding warning present but result.converged=True
implementation_smell_density_per_kloc,79,79,-1.288841388394445,1.7169223782941091e-44,-0.00013224142080335346,0.9792969752010869,0.0008587319096660221,True,The MLE may be on the boundary of the parameter space.
all-3-metrics-pooled-with-metric-fixed-effect,237,79,-1.100222045882351,3.6706740058885385e-55,0.003656797095969967,0.46055494646052675,1.8627268920677378e-08,True,The MLE may be on the boundary of the parameter space.
