metric,n_draws,real_rho,real_n_repos,null_mean_rho,null_std_rho,null_min_rho,null_max_rho,null_percentile_of_real,z_vs_null,p_empirical_two_sided,null_kind
cyclomatic_complexity_p90,300,-0.7008763388510225,79,-0.6725143341869056,0.054095791740825266,-0.8172094385278116,-0.4812160443879319,28.999999999999996,-0.524292255486345,0.584717607973422,uniform
design_smell_density_per_kloc,300,-0.6019476567255022,79,-0.82217986963871,0.04234030725876325,-0.9267181651668392,-0.7104085370709564,100.0,5.201478854823992,0.006644518272425249,uniform
implementation_smell_density_per_kloc,300,-0.7119000961550166,79,-0.8210256693276564,0.03595750749185078,-0.9102875480773058,-0.7298752179902691,100.0,3.034848096669978,0.006644518272425249,uniform
"pooled (non-independent, see caveat)",300,-0.6976662320083693,237,-0.7512520485938569,0.02999711359552398,-0.8342090118711734,-0.6571851427508038,94.66666666666667,1.7863657586536381,0.11295681063122924,uniform
cyclomatic_complexity_p90,300,-0.7008763388510225,79,-0.6394477995247673,0.048272532858211925,-0.7637790818348207,-0.5086749374970517,12.0,-1.2725360715313134,0.24584717607973422,split_matched
design_smell_density_per_kloc,300,-0.6019476567255022,79,-0.709945743640219,0.039950799589628605,-0.8195687439622332,-0.5863514572662815,99.33333333333333,2.703277231596475,0.019933554817275746,split_matched
implementation_smell_density_per_kloc,300,-0.7119000961550166,79,-0.7457673271828306,0.036147758415607315,-0.8356221807080695,-0.6408985282726568,83.0,0.9369109596901396,0.34551495016611294,split_matched
"pooled (non-independent, see caveat)",300,-0.6976662320083693,237,-0.7049003075321425,0.028186718002216896,-0.7778457511181179,-0.6367354964779429,57.333333333333336,0.25664838038980753,0.8571428571428571,split_matched
