metric,outcome,n_python,n_csharp,median_python,median_csharp,mannwhitney_p,cliffs_delta
cyclomatic_complexity_p90,level_change_coef,7,4,0.4752766054632268,-0.18372719443109015,0.3151515151515151,0.42857142857142855
cyclomatic_complexity_p90,slope_change_coef,7,4,-0.0140081144072279,0.03185697689083015,0.7878787878787878,-0.14285714285714285
design_smell_density_per_kloc,level_change_coef,8,7,0.04003870990161385,0.0580329767966235,0.33566433566433573,-0.32142857142857145
design_smell_density_per_kloc,slope_change_coef,8,7,-0.0029992329170638,0.00157210883088,0.778865578865579,0.10714285714285714
implementation_smell_density_per_kloc,level_change_coef,8,7,-0.07182933750048125,0.1567143096039364,0.1892773892773893,-0.42857142857142855
implementation_smell_density_per_kloc,slope_change_coef,8,7,0.00018369285908249996,-0.0029009551576825,0.8665112665112666,-0.07142857142857142
