repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_god_class,n_data_class,n_feature_envy,n_brain_method,design_smell_count,design_smell_density_per_kloc,implementation_smell_count,implementation_smell_density_per_kloc,status
283046497.0,airbytehq/airbyte,Python,A1,2022-01-01T00:00:00+00:00,99a2ae60805ef824c7a9c184cc96b6bda600d988,97628,1363,0,1811,3807,121,0,16,137,121,1.2393985332076862,153,1.5671733519072397,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-02-01T00:00:00+00:00,1bc544a9fb76ca6b86805320181b0743de1a5b6e,102680,1426,0,1891,3960,123,2,24,152,125,1.2173743669653292,176,1.7140631086871834,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-03-01T00:00:00+00:00,a46b8853569af060bafabe680e2816844e754eff,108472,1473,0,1954,4157,136,2,26,165,138,1.2722177151707355,191,1.760823069547902,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-04-01T00:00:00+00:00,f6428642209698368248e97d30d5602b9f7e8e7f,115021,1519,0,2012,4379,142,4,31,162,146,1.269333426070022,193,1.6779544604898236,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-05-01T00:00:00+00:00,18f59bfc9a7cf8364f12c0eb2e74c3346307b078,121851,1594,0,2086,4570,151,4,33,170,155,1.272045366882504,203,1.665969093400957,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-06-01T00:00:00+00:00,5f0f106cb640d49ad1b3e0f37aeb99f98d72dbfb,127724,1677,0,2103,4734,153,4,31,170,157,1.229212990510789,201,1.5737058031380162,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-07-01T00:00:00+00:00,2a93dc1ec4c1a274e87941204bfa5995717329e9,172496,1815,0,3434,5080,307,5,34,209,312,1.808737593915221,243,1.4087283183378165,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-08-01T00:00:00+00:00,67333aa3bca19cb0b3f4ab82dd4663c985c63630,183382,1916,2,3528,5440,322,6,35,207,328,1.7886161128136895,242,1.3196496929905879,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-09-01T00:00:00+00:00,827e7a55ac21afd029cecbb8f7f2a08dba70d516,194950,1991,2,3574,5658,326,6,35,219,332,1.7030007694280587,254,1.3028981790202616,ok
283046497.0,airbytehq/airbyte,Python,A1,2022-10-01T00:00:00+00:00,aaa94f1cbc07bdd8fc8908e9dd1a1bca2038ba36,207610,2091,2,3712,5945,337,5,39,236,342,1.6473194932806703,275,1.324599007754925,ok
